frame.time_delta,ip.proto,ip.len,tcp.srcport,tcp.dstport,tcp.flags.syn,icmp.type,icmp.seq,icmp.code
"0.000119684","6","44","53745","10778","True",,,
"0.000365112","6","40","726","53745","False",,,
"0.000067827","6","40","1839","53745","False",,,
"0.000183418","6","44","53745","515","True",,,
"0.000218410","6","40","9500","53745","False",,,
"0.000117400","6","44","53745","1063","True",,,
"0.000277354","6","44","53745","981","True",,,
"0.000203946","6","40","636","53745","False",,,
"0.000123710","6","44","53745","1494","True",,,
"0.000133939","6","44","53745","749","True",,,
"0.000105648","6","44","53745","902","True",,,
"0.000091215","6","44","53745","2010","True",,,
"0.000092171","6","40","545","53745","False",,,
"0.000076697","6","44","53745","2144","True",,,
"0.000104860","6","44","53745","9099","True",,,
"0.000184210","6","44","53745","9968","True",,,
"0.000192599","6","44","53745","416","True",,,
"0.000119568","6","44","53745","6025","True",,,
"0.000073015","6","44","53745","1141","True",,,
"0.000070124","6","44","53745","2040","True",,,
"0.000068649","6","44","53745","8300","True",,,
"0.000070104","6","44","53745","3986","True",,,
"0.000100284","6","44","53745","5566","True",,,
"0.000080685","6","44","53745","1935","True",,,
"0.000084583","6","44","53745","722","True",,,
"0.000070857","6","44","53745","4998","True",,,
"0.000069475","6","44","53745","90","True",,,
"0.000119705","6","44","53745","5030","True",,,
"0.000148691","6","44","53745","3","True",,,
"0.001491492","6","40","1126","53745","False",,,
"0.000000869","6","40","4567","53745","False",,,
"0.000000180","6","40","18988","53745","False",,,
"0.000000164","6","40","2035","53745","False",,,
"0.000000180","6","40","18101","53745","False",,,
"0.000000174","6","40","10778","53745","False",,,
"0.000000170","6","40","515","53745","False",,,
"0.000000162","6","40","1063","53745","False",,,
"0.000112684","6","40","981","53745","False",,,
"0.000000240","6","40","1494","53745","False",,,
"0.000000177","6","40","749","53745","False",,,
"0.000000180","6","40","902","53745","False",,,
"0.000000171","6","40","2010","53745","False",,,
"0.000000174","6","40","2144","53745","False",,,
"0.000000176","6","40","9099","53745","False",,,
"0.000000165","6","40","9968","53745","False",,,
"0.000037683","6","40","416","53745","False",,,
"0.000000244","6","40","6025","53745","False",,,
"0.000000163","6","40","1141","53745","False",,,
"0.000000169","6","40","2040","53745","False",,,
"0.000000167","6","40","8300","53745","False",,,
"0.001001400","6","40","3986","53745","False",,,
"0.000001118","6","40","5566","53745","False",,,
"0.000000164","6","40","1935","53745","False",,,
"0.000000178","6","40","722","53745","False",,,
"0.000000162","6","40","4998","53745","False",,,
"0.000000166","6","40","90","53745","False",,,
"0.000000172","6","40","5030","53745","False",,,
"0.000000163","6","40","3","53745","False",,,
"0.000432988","6","44","53745","5510","True",,,
"0.000032452","6","44","53745","17988","True",,,
"0.000194742","6","44","53745","1089","True",,,
"0.000018119","6","44","53745","2968","True",,,
"0.000178851","6","44","53745","9011","True",,,
"0.000021410","6","44","53745","3052","True",,,
"0.000285824","6","40","5510","53745","False",,,
"0.000000493","6","40","17988","53745","False",,,
"0.000000164","6","40","1089","53745","False",,,
"0.000000172","6","40","2968","53745","False",,,
"0.000000164","6","40","9011","53745","False",,,
"0.000217093","6","44","53745","3030","True",,,
"0.000030367","6","44","53745","9003","True",,,
"0.000238009","6","44","53745","1974","True",,,
"0.000018545","6","44","53745","8100","True",,,
"0.000210160","6","44","53745","407","True",,,
"0.000019000","6","44","53745","1065","True",,,
"0.000099034","6","44","53745","1099","True",,,
"0.000015720","6","44","53745","1328","True",,,
"0.000100432","6","44","53745","10180","True",,,
"0.000020243","6","44","53745","544","True",,,
"0.000259831","6","44","53745","51103","True",,,
"0.000123097","6","44","53745","1123","True",,,
"0.001269479","6","40","3052","53745","False",,,
"0.000001049","6","40","3030","53745","False",,,
"0.000000166","6","40","9003","53745","False",,,
"0.000000177","6","40","1974","53745","False",,,
"0.000000171","6","40","8100","53745","False",,,
"0.000000179","6","40","407","53745","False",,,
"0.000000176","6","40","1065","53745","False",,,
"0.000000167","6","44","1099","53745","True",,,
"0.000149981","6","40","53745","1099","False",,,
"0.000024760","6","40","1328","53745","False",,,
"0.002515460","6","40","10180","53745","False",,,
"0.000001158","6","40","544","53745","False",,,
"0.000000161","6","40","51103","53745","False",,,
"0.000000164","6","40","1123","53745","False",,,
"0.000208930","6","44","53745","31038","True",,,
"0.000444515","6","44","53745","64680","True",,,
"0.000030221","6","44","53745","32772","True",,,
"0.000138961","6","44","53745","11110","True",,,
"0.000013613","6","44","53745","900","True",,,
"0.000114119","6","44","53745","17","True",,,
"0.000013449","6","44","53745","6059","True",,,
"0.000094818","6","44","53745","1149","True",,,
"0.000013338","6","44","53745","8443","True",,,
"0.000086186","6","44","53745","42510","True",,,
"0.000017234","6","44","53745","880","True",,,
"0.000118431","6","44","53745","16000","True",,,
"0.000028014","6","44","53745","1095","True",,,
"0.000094882","6","44","53745","7911","True",,,
"0.000014903","6","44","53745","990","True",,,
"0.000086340","6","44","53745","7512","True",,,
"0.000013618","6","44","53745","3914","True",,,
"0.000085350","6","44","53745","50006","True",,,
"0.000013273","6","44","53745","1119","True",,,
"0.000087260","6","44","53745","222","True",,,
"0.000013058","6","44","53745","14442","True",,,
"0.000098086","6","44","53745","43","True",,,
